German,English,Context,Date
technologiezentrum,TECHNOLOGIEZENTRUM,"Der US-Präsident richtet eine scharfe Warnung an den Oman, der im Konflikt mit dem Iran vermittelt. In Deutschland wird das neue ""Technologiezentrum Drohnensicherheit"" eröffnet. Der DW-Nachrichtenüberblick.",2026-08-19
rahmenbedingungen,Framework conditions,Internationale Beobachter äußerten Kritik an den politischen Rahmenbedingungen und verwiesen auf Unregelmäßigkeiten bei der Abstimmung. Im Mittelpunkt des Wahlkampfes stand die wirtschaftliche Lage Sambias.,2026-08-19
drohnensicherheit,drone safety,"Der US-Präsident richtet eine scharfe Warnung an den Oman, der im Konflikt mit dem Iran vermittelt. In Deutschland wird das neue ""Technologiezentrum Drohnensicherheit"" eröffnet. Der DW-Nachrichtenüberblick.",2026-08-19
konfliktparteien,conflicting parties,Trotz einiger Vereinbarungen ist der Erfolg der Gespräche von US-Unterhändler Jared Kushner mit Vertretern Israels und der Hamas überschaubar. Die Konfliktparteien bewegen sich kaum.,2026-08-19
theatervielfalt,theatre diversity,"Die in Sachsen-Anhalt als ""gesichert rechtsextrem"" geltende AfD liegt in Umfragen zur kommenden Landtagswahl vorn. Ihr Programm könnte Gefahren für das Bauhaus, die Holocaust-Gedenkkultur und die Theatervielfalt bergen.",2026-08-19
vereinbarungen,agreements.,Trotz einiger Vereinbarungen ist der Erfolg der Gespräche von US-Unterhändler Jared Kushner mit Vertretern Israels und der Hamas überschaubar. Die Konfliktparteien bewegen sich kaum.,2026-08-19
gedenkkultur,commemorative culture,"Die in Sachsen-Anhalt als ""gesichert rechtsextrem"" geltende AfD liegt in Umfragen zur kommenden Landtagswahl vorn. Ihr Programm könnte Gefahren für das Bauhaus, die Holocaust-Gedenkkultur und die Theatervielfalt bergen.",2026-08-19
sabotageakte,sabotage record,Drei Ukrainer schickten GPS-Tracker von Deutschland aus in ihr Heimatland. Es ging wohl um Spionage für Russland und geplante Sabotageakte. Einer der Männer wurde nun zu einer Haftstrafe verurteilt.,2026-08-19
überschaubar,Manageable,Trotz einiger Vereinbarungen ist der Erfolg der Gespräche von US-Unterhändler Jared Kushner mit Vertretern Israels und der Hamas überschaubar. Die Konfliktparteien bewegen sich kaum.,2026-08-19
wahlkampfes,election campaign,Internationale Beobachter äußerten Kritik an den politischen Rahmenbedingungen und verwiesen auf Unregelmäßigkeiten bei der Abstimmung. Im Mittelpunkt des Wahlkampfes stand die wirtschaftliche Lage Sambias.,2026-08-19
organisiert,organised,Wawira Njiru organisiert Mahlzeiten für Hunderttausende Schulkinder in Kenia - und fördert gleichzeitig Bäuerinnen vor Ort. Dafür wird sie von der Deutschen Afrika-Stiftung ausgezeichnet.,2026-08-19
schulkinder,schoolchildren,Wawira Njiru organisiert Mahlzeiten für Hunderttausende Schulkinder in Kenia - und fördert gleichzeitig Bäuerinnen vor Ort. Dafür wird sie von der Deutschen Afrika-Stiftung ausgezeichnet.,2026-08-19
vertretern,representatives,Trotz einiger Vereinbarungen ist der Erfolg der Gespräche von US-Unterhändler Jared Kushner mit Vertretern Israels und der Hamas überschaubar. Die Konfliktparteien bewegen sich kaum.,2026-08-19
mahlzeiten,meals,Wawira Njiru organisiert Mahlzeiten für Hunderttausende Schulkinder in Kenia - und fördert gleichzeitig Bäuerinnen vor Ort. Dafür wird sie von der Deutschen Afrika-Stiftung ausgezeichnet.,2026-08-19
bäuerinnen,female farmers,Wawira Njiru organisiert Mahlzeiten für Hunderttausende Schulkinder in Kenia - und fördert gleichzeitig Bäuerinnen vor Ort. Dafür wird sie von der Deutschen Afrika-Stiftung ausgezeichnet.,2026-08-19
schickten,sent,Drei Ukrainer schickten GPS-Tracker von Deutschland aus in ihr Heimatland. Es ging wohl um Spionage für Russland und geplante Sabotageakte. Einer der Männer wurde nun zu einer Haftstrafe verurteilt.,2026-08-19
cochstedt,cochstedt,"Seit geraumer Zeit gibt es immer wieder Zwischenfälle mit Drohnen, auch in Deutschland. Teilweise handelt es sich um hybride Angriffe. Ein neues Zentrum am Flughafen Magdeburg-Cochstedt soll jetzt die Abwehr stärken.",2026-08-19
verwiesen,.,Internationale Beobachter äußerten Kritik an den politischen Rahmenbedingungen und verwiesen auf Unregelmäßigkeiten bei der Abstimmung. Im Mittelpunkt des Wahlkampfes stand die wirtschaftliche Lage Sambias.,2026-08-19
geltende,applicable,"Die in Sachsen-Anhalt als ""gesichert rechtsextrem"" geltende AfD liegt in Umfragen zur kommenden Landtagswahl vorn. Ihr Programm könnte Gefahren für das Bauhaus, die Holocaust-Gedenkkultur und die Theatervielfalt bergen.",2026-08-19
