German,English,Context,Date
bundesbildungsministerin,federal Minister of Education,"Die größte Holocaust-Gedenkstätte der Welt reagiert auf zunehmenden Antisemitismus. ""Das Wissen über das, was war, ist wichtig, um das Übel in der Zukunft zu verhindern"", sagt Bundesbildungsministerin Prien.",2026-05-29
verteidigungsfall,defense case,Ist auf die USA unter Donald Trump im Verteidigungsfall noch Verlass? Viele Europäer bezweifeln das. Norwegen nimmt zur Sicherheit ein Angebot aus Frankreich an.,2026-05-29
österreichisches,Austrian Cookware...,Kurz vor den geplanten Konzerten in Wien verhinderten Behörden einen Terroranschlag auf Tausende Fans. Nun hat ein österreichisches Gericht zwei Islamisten zu langen Haftstrafen verurteilt.,2026-05-29
widersprüchliche,contradictory,Widersprüchliche Angaben gibt es über Fortschritte in den Gesprächen über ein Ende des Iran-Kriegs. Im Prozess um den geplanten Anschlag auf ein Taylor-Swift-Konzert in Wien fiel das Urteil. Der DW-Nachrichtenüberblick.,2026-05-29
terroranschlag,Terrorist attack,Kurz vor den geplanten Konzerten in Wien verhinderten Behörden einen Terroranschlag auf Tausende Fans. Nun hat ein österreichisches Gericht zwei Islamisten zu langen Haftstrafen verurteilt.,2026-05-29
militärflächen,military areas,"Vier Buchstaben umschreiben den Kern der Vorwürfe: PFAS, sogenannte Ewigkeits-Chemikalien, die auf Militärflächen in Australien eingesetzt wurden - mit womöglich gravierenden Folgen für Mensch und Umwelt.",2026-05-29
leistungsfähig,high-performance,Depressive Menschen sind antriebslos und schaffen selbst kleine Aufgaben nicht mehr? Nicht immer. Manche sind trotz Depression produktiv und leistungsfähig. Dann kann's ja nicht so schlimm sein? Ein gefährlicher Irrtum.,2026-05-29
menschenleben,Human lives.,"Europa stöhnt unter einer frühen Hitzewelle, die Rekorde bricht und schon Menschenleben gefordert hat. Warum der Kontinent besonders heiß ist und wie die Prognosen sind.",2026-05-29
interessieren,"in our price list,","Männer interessieren sich nicht für Klimaschutz, sie interessieren sich für schnelle Autos. Stimmt das wirklich? Und wenn ja, was kann man tun, um sie zu überzeugen, dass das Klima auch sie angeht?",2026-05-29
klimapolitik,Climate policy,"Der Expertenrat für Klimafragen stellt seinen Bericht zum Stand der deutschen Klimapolitik vor. Darin zeigen die Wissenschaftler, wie Deutschland seine Klimaziele derzeit einhält und sie doch verfehlt.",2026-05-29
verhinderten,prevented,Kurz vor den geplanten Konzerten in Wien verhinderten Behörden einen Terroranschlag auf Tausende Fans. Nun hat ein österreichisches Gericht zwei Islamisten zu langen Haftstrafen verurteilt.,2026-05-29
