German,English,Context,Date
arbeitsministerium,MINISTRY OF LABOUR,"2025 gab es laut Bundesregierung mindestens 110.000 Fälle, in denen Sozialleistungen unrechtmäßig in Anspruch genommen wurden. Das Arbeitsministerium räumte ein, das sei nur die Spitze des Eisberges.",2026-07-12
sozialleistungen,Social benefits,"2025 gab es laut Bundesregierung mindestens 110.000 Fälle, in denen Sozialleistungen unrechtmäßig in Anspruch genommen wurden. Das Arbeitsministerium räumte ein, das sei nur die Spitze des Eisberges.",2026-07-12
voraussichtlich,as anticipated,"Am frühen Sonntagmorgen wird der Taifun ""Bavi"" voraussichtlich in China auf Land treffen. Die Behörden sind alarmiert. Eine Evakuierung von gigantischem Ausmaß wurde angeordnet.",2026-07-12
steuereinnahmen,Tax revenue,"Weniger Steuereinnahmen, mehr Sozialausgaben: In immer mehr Städten und Gemeinden verwalten die Bürgermeister nur noch den Mangel. Oberhausen ist eine Stadt, die besonders tief in den roten Zahlen steckt.",2026-07-12
zurückzukehren,the offices,"Proteste und Gewalt gegen Migranten zwangen auch zwei Frauen aus Sambia, ihr Leben in Südafrika aufzugeben und in ihre Heimat zurückzukehren. Der Neufang ist von Angst und Traumata geprägt, sagen Experten.",2026-07-12
sozialausgaben,Social services,"Weniger Steuereinnahmen, mehr Sozialausgaben: In immer mehr Städten und Gemeinden verwalten die Bürgermeister nur noch den Mangel. Oberhausen ist eine Stadt, die besonders tief in den roten Zahlen steckt.",2026-07-12
sonntagmorgen,Sunday morning.,"Am frühen Sonntagmorgen wird der Taifun ""Bavi"" voraussichtlich in China auf Land treffen. Die Behörden sind alarmiert. Eine Evakuierung von gigantischem Ausmaß wurde angeordnet.",2026-07-12
autometropole,autometropolis,"Die Gordie-Howe-Brücke soll eine bestehende Brücke zwischen der US-Autometropole Detroit und dem kanadischen Windsor entlasten. Doch statt zu verbinden, entzweite das Bauwerk die Regierungen beider Länder - bis jetzt.",2026-07-12
reproduzieren,reproduce,"DW Faktencheck erklärt, wie man KI-generierte ""historische"" Videos erkennt und warum sie trenden. Ein Grund: Sie erfüllen Erwartungen, sind unterhaltsam und reproduzieren Klischees.",2026-07-12
bürgerwehren,vigilantes,"Gewalt gegen Ausländer erschüttert Südafrika: Jetzt fordern Bürgerwehren und rechtspopulistische Kräfte, dass Migranten bis zum 30. Juni ausreisen. Das wäre auch für die Wirtschaft fatal, warnen Experten.",2026-07-12
gigantischem,gigantic,"Am frühen Sonntagmorgen wird der Taifun ""Bavi"" voraussichtlich in China auf Land treffen. Die Behörden sind alarmiert. Eine Evakuierung von gigantischem Ausmaß wurde angeordnet.",2026-07-12
unterhaltsam,entertaining,"DW Faktencheck erklärt, wie man KI-generierte ""historische"" Videos erkennt und warum sie trenden. Ein Grund: Sie erfüllen Erwartungen, sind unterhaltsam und reproduzieren Klischees.",2026-07-12
evakuierung,Evacuation,"Am frühen Sonntagmorgen wird der Taifun ""Bavi"" voraussichtlich in China auf Land treffen. Die Behörden sind alarmiert. Eine Evakuierung von gigantischem Ausmaß wurde angeordnet.",2026-07-12
kanadischen,canadian,"Die Gordie-Howe-Brücke soll eine bestehende Brücke zwischen der US-Autometropole Detroit und dem kanadischen Windsor entlasten. Doch statt zu verbinden, entzweite das Bauwerk die Regierungen beider Länder - bis jetzt.",2026-07-12
aufzugeben,with new customers.,"Proteste und Gewalt gegen Migranten zwangen auch zwei Frauen aus Sambia, ihr Leben in Südafrika aufzugeben und in ihre Heimat zurückzukehren. Der Neufang ist von Angst und Traumata geprägt, sagen Experten.",2026-07-12
bestehende,Existing,"Die Gordie-Howe-Brücke soll eine bestehende Brücke zwischen der US-Autometropole Detroit und dem kanadischen Windsor entlasten. Doch statt zu verbinden, entzweite das Bauwerk die Regierungen beider Länder - bis jetzt.",2026-07-12
oberhausen,Oberhausen,"Weniger Steuereinnahmen, mehr Sozialausgaben: In immer mehr Städten und Gemeinden verwalten die Bürgermeister nur noch den Mangel. Oberhausen ist eine Stadt, die besonders tief in den roten Zahlen steckt.",2026-07-12
generierte,generated,"DW Faktencheck erklärt, wie man KI-generierte ""historische"" Videos erkennt und warum sie trenden. Ein Grund: Sie erfüllen Erwartungen, sind unterhaltsam und reproduzieren Klischees.",2026-07-12
ausreisen,exits,"Gewalt gegen Ausländer erschüttert Südafrika: Jetzt fordern Bürgerwehren und rechtspopulistische Kräfte, dass Migranten bis zum 30. Juni ausreisen. Das wäre auch für die Wirtschaft fatal, warnen Experten.",2026-07-12
eisberges,icebergs,"2025 gab es laut Bundesregierung mindestens 110.000 Fälle, in denen Sozialleistungen unrechtmäßig in Anspruch genommen wurden. Das Arbeitsministerium räumte ein, das sei nur die Spitze des Eisberges.",2026-07-12
verbinden,Connect your existing account,"Die Gordie-Howe-Brücke soll eine bestehende Brücke zwischen der US-Autometropole Detroit und dem kanadischen Windsor entlasten. Doch statt zu verbinden, entzweite das Bauwerk die Regierungen beider Länder - bis jetzt.",2026-07-12
entzweite,disjointed,"Die Gordie-Howe-Brücke soll eine bestehende Brücke zwischen der US-Autometropole Detroit und dem kanadischen Windsor entlasten. Doch statt zu verbinden, entzweite das Bauwerk die Regierungen beider Länder - bis jetzt.",2026-07-12
verwalten,manage,"Weniger Steuereinnahmen, mehr Sozialausgaben: In immer mehr Städten und Gemeinden verwalten die Bürgermeister nur noch den Mangel. Oberhausen ist eine Stadt, die besonders tief in den roten Zahlen steckt.",2026-07-12
klischees,Stereotypes,"DW Faktencheck erklärt, wie man KI-generierte ""historische"" Videos erkennt und warum sie trenden. Ein Grund: Sie erfüllen Erwartungen, sind unterhaltsam und reproduzieren Klischees.",2026-07-12
