German,English,Context,Date
weltgesundheitsorganisation,World Health Organisation,"Es gibt keinen Impfstoff, die Sicherheitslage ist heikel und viele Menschen haben ihre Heimatorte verlassen. Die Weltgesundheitsorganisation schlägt deshalb wegen eines Ebola-Ausbruchs in Zentralafrika Alarm.",2026-05-17
inlandsgeheimdienst,domestic intelligence service,"Iss al-Did al-Haddad, der Militärchef der Hamas im Gazastreifen, ist am Freitag bei einem Luftangriff getötet worden. Das erklärten übereinstimmend das israelische Militär und der Inlandsgeheimdienst Schin Bet.",2026-05-17
verhandlungsmasse,negotiation assets,"Washingtons Rückhalt ist ein Pfeiler der Sicherheit Taiwans. Nach dem Besuch von US-Präsident Trump in Peking herrscht in Taipeh die Sorge, die Zukunft der Insel könnte zur Verhandlungsmasse werden.",2026-05-17
boykottdrohungen,boycott threats,"Nach Boykottdrohungen mehrerer Länder ruft die Europäische Rundfunkunion ihre Mitglieder zu einer Abstimmung auf. Dass es um Israel geht, wird allerdings nicht offiziell bestätigt.",2026-05-17
sicherheitslage,Security situation,"Es gibt keinen Impfstoff, die Sicherheitslage ist heikel und viele Menschen haben ihre Heimatorte verlassen. Die Weltgesundheitsorganisation schlägt deshalb wegen eines Ebola-Ausbruchs in Zentralafrika Alarm.",2026-05-17
übereinstimmend,matching,"Iss al-Did al-Haddad, der Militärchef der Hamas im Gazastreifen, ist am Freitag bei einem Luftangriff getötet worden. Das erklärten übereinstimmend das israelische Militär und der Inlandsgeheimdienst Schin Bet.",2026-05-17
zeitgeschichte,Science,"Vom ""Sonderzug nach Pankow"" bis zum Chartrekord mit Apache 207: Udo Lindenberg hat die deutsche Rockmusik geprägt wie kaum ein anderer. Mit 80 Jahren gilt der Panikrocker als Symbol für deutsche Zeitgeschichte.",2026-05-17
rundfunkunion,rundfunkunion,"Nach Boykottdrohungen mehrerer Länder ruft die Europäische Rundfunkunion ihre Mitglieder zu einer Abstimmung auf. Dass es um Israel geht, wird allerdings nicht offiziell bestätigt.",2026-05-17
zentralafrika,CENTRAL AFRICA     0,"Es gibt keinen Impfstoff, die Sicherheitslage ist heikel und viele Menschen haben ihre Heimatorte verlassen. Die Weltgesundheitsorganisation schlägt deshalb wegen eines Ebola-Ausbruchs in Zentralafrika Alarm.",2026-05-17
diesjährigen,this year,"Bangaranga heißt der Song, mit dem die bulgarische Sängerin Dara, den diesjährigen ESC für sich entscheiden konnte. Publikum und Jury sahen die 27-Jährige gleichermaßen auf Platz 1. Israel wurde Zweiter.",2026-05-17
veranstalter,pec-organizers,Aus Protest gegen die Teilnahme Israels am ESC im kommenden Jahr schickt der Schweizer ESC-Star das gläserne Mikrofon für seinen Sieg 2024 zurück. Veranstalter EBU versucht derweil die Fans mit einem Brief zu beruhigen.,2026-05-17
durchkreuzen,cross out,"Die US-Demokraten wollten die Wahlkreise im Bundesstaat Virginia neu zuschneiden, um bei den Zwischenwahlen bessere Chancen gegen die Republikaner von Präsident Trump zu haben. Doch Gerichte durchkreuzen die Pläne.",2026-05-17
militärchef,military chief,"Iss al-Did al-Haddad, der Militärchef der Hamas im Gazastreifen, ist am Freitag bei einem Luftangriff getötet worden. Das erklärten übereinstimmend das israelische Militär und der Inlandsgeheimdienst Schin Bet.",2026-05-17
