German,English,Context,Date
kirchenhistoriker,church historian,"Medial kennt die Welt Papst Leo, der seit einem Jahr an der Spitze der katholischen Kirche steht. Der Kirchenhistoriker Jörg Ernesti vermisst eine klare Perspektive.",2026-05-08
ehrenbürgerin,honorary citizen,"Die Holocaust-Überlebende Margot Friedländer engagierte sich bis zuletzt als Zeitzeugin. Nun erinnert ein Platz an die Berliner Ehrenbürgerin, die 2025 im Alter von 103 Jahren verstorben war.",2026-05-08
europäischer,EUROPEAN,Ein europäischer Geheimdienst berichtet von einer möglichen Verschwörung innerhalb der russischen Elite gegen Präsident Putin. Was ist da dran und welche Rolle spielt Putins langjähriger Vertrauter Sergej Schoigu?,2026-05-08
verschwörung,CONSPIRACY,Ein europäischer Geheimdienst berichtet von einer möglichen Verschwörung innerhalb der russischen Elite gegen Präsident Putin. Was ist da dran und welche Rolle spielt Putins langjähriger Vertrauter Sergej Schoigu?,2026-05-08
langjähriger,many years of,Ein europäischer Geheimdienst berichtet von einer möglichen Verschwörung innerhalb der russischen Elite gegen Präsident Putin. Was ist da dran und welche Rolle spielt Putins langjähriger Vertrauter Sergej Schoigu?,2026-05-08
perspektive,Perspective,"Medial kennt die Welt Papst Leo, der seit einem Jahr an der Spitze der katholischen Kirche steht. Der Kirchenhistoriker Jörg Ernesti vermisst eine klare Perspektive.",2026-05-08
friedländer,peaceful people,"Die Holocaust-Überlebende Margot Friedländer engagierte sich bis zuletzt als Zeitzeugin. Nun erinnert ein Platz an die Berliner Ehrenbürgerin, die 2025 im Alter von 103 Jahren verstorben war.",2026-05-08
vertrauter,CONSORT,Ein europäischer Geheimdienst berichtet von einer möglichen Verschwörung innerhalb der russischen Elite gegen Präsident Putin. Was ist da dran und welche Rolle spielt Putins langjähriger Vertrauter Sergej Schoigu?,2026-05-08
übergriffe,Assaultive Behavior,Berlin und der Judenhass. Übergriffe und Bedrohungen nehmen zu. Eindrücke aus der deutschen Hauptstadt.,2026-05-08
engagierte,dedicated,"Die Holocaust-Überlebende Margot Friedländer engagierte sich bis zuletzt als Zeitzeugin. Nun erinnert ein Platz an die Berliner Ehrenbürgerin, die 2025 im Alter von 103 Jahren verstorben war.",2026-05-08
zeitzeugin,contemporary witness,"Die Holocaust-Überlebende Margot Friedländer engagierte sich bis zuletzt als Zeitzeugin. Nun erinnert ein Platz an die Berliner Ehrenbürgerin, die 2025 im Alter von 103 Jahren verstorben war.",2026-05-08
berichtet,reported,Ein europäischer Geheimdienst berichtet von einer möglichen Verschwörung innerhalb der russischen Elite gegen Präsident Putin. Was ist da dran und welche Rolle spielt Putins langjähriger Vertrauter Sergej Schoigu?,2026-05-08
unbeliebt,Unfavorite,Noch nie war eine Bundesregierung nach einem Jahr im Amt so unbeliebt wie die von Kanzler Merz. Davon profitiert die in Teilen rechtsextreme AfD.,2026-05-08
eindrücke,IMPRESSIONS,Berlin und der Judenhass. Übergriffe und Bedrohungen nehmen zu. Eindrücke aus der deutschen Hauptstadt.,2026-05-08
zuspruch,Solace,Wegen seiner offenen Worte zu Kriegen und auch zum Kurs von US-Präsident Trump bekommt Papst Leo XIV. viel Zuspruch. Bei einem Thema behält der Vatikan aber die konservative Linie bei.,2026-05-08
boykotte,boycotts,"Streit um Israels Teilnahme und Boykotte in nie dagewesenem Umfang: Der Eurovision Song Contest in Wien steht schon vor dem Start unter Druck und zeigt, wie politisch Europas größte Musikshow geworden ist.",2026-05-08
geworden,I do not become,"Streit um Israels Teilnahme und Boykotte in nie dagewesenem Umfang: Der Eurovision Song Contest in Wien steht schon vor dem Start unter Druck und zeigt, wie politisch Europas größte Musikshow geworden ist.",2026-05-08
berliner,Berliner,"Die Holocaust-Überlebende Margot Friedländer engagierte sich bis zuletzt als Zeitzeugin. Nun erinnert ein Platz an die Berliner Ehrenbürgerin, die 2025 im Alter von 103 Jahren verstorben war.",2026-05-08
scheint,seems,"Ein Jahr nach seiner Wahl gilt Papst Leo als wichtiges Gegenüber zu US-Präsident Trump. Wohin er die katholische Kirche lenken will, scheint noch offen.",2026-05-08
ernesti,ernesti,"Medial kennt die Welt Papst Leo, der seit einem Jahr an der Spitze der katholischen Kirche steht. Der Kirchenhistoriker Jörg Ernesti vermisst eine klare Perspektive.",2026-05-08
offenen,Open:,Wegen seiner offenen Worte zu Kriegen und auch zum Kurs von US-Präsident Trump bekommt Papst Leo XIV. viel Zuspruch. Bei einem Thema behält der Vatikan aber die konservative Linie bei.,2026-05-08
kriegen,get,Wegen seiner offenen Worte zu Kriegen und auch zum Kurs von US-Präsident Trump bekommt Papst Leo XIV. viel Zuspruch. Bei einem Thema behält der Vatikan aber die konservative Linie bei.,2026-05-08
bekommt,receives,Wegen seiner offenen Worte zu Kriegen und auch zum Kurs von US-Präsident Trump bekommt Papst Leo XIV. viel Zuspruch. Bei einem Thema behält der Vatikan aber die konservative Linie bei.,2026-05-08
vatikan,Holy See (Vatican City),Wegen seiner offenen Worte zu Kriegen und auch zum Kurs von US-Präsident Trump bekommt Papst Leo XIV. viel Zuspruch. Bei einem Thema behält der Vatikan aber die konservative Linie bei.,2026-05-08
