German,English,Context,Date
informationsfreiheitsgesetz,Freedom of Information Act (Informationsfreiheitsgesetz),"Wer wissen will, was Behörden in Deutschland tun, kann sich bislang auf das Informationsfreiheitsgesetz berufen. Das soll nun massiv eingeschränkt werden. Organisationen, Vereine und Medien warnen vor einem Rückschritt.",2026-07-14
herausforderung,challenge,"Vietnam will die Geburtenrate erhöhen. Experten weisen jedoch darauf hin, dass die größere Herausforderung darin besteht, Wirtschaft und Sozialsysteme an eine alternde Bevölkerung anzupassen.",2026-07-14
thailändischen,thai,Der Brand war gegen Mitternacht in einem Pub in der thailändischen Hauptstadt Bangkok ausgebrochen. Die Flammen breiteten sich rasch aus. Bislang gibt es 27 Todesopfer und zahlreiche Verletzte.,2026-07-14
sozialsysteme,Social systems,"Vietnam will die Geburtenrate erhöhen. Experten weisen jedoch darauf hin, dass die größere Herausforderung darin besteht, Wirtschaft und Sozialsysteme an eine alternde Bevölkerung anzupassen.",2026-07-14
fotoautomaten,photo vending machines,"Von Betreibern von Fotoautomaten bis zu kleinen Werkstätten: Ab 2026 zahlen alle mehr Steuern. Kritiker warnen, die Reform könnte gerade jene Teile der Wirtschaft schwächen, die sie eigentlich stärken soll.",2026-07-14
geburtenrate,Fertility rate,"Vietnam will die Geburtenrate erhöhen. Experten weisen jedoch darauf hin, dass die größere Herausforderung darin besteht, Wirtschaft und Sozialsysteme an eine alternde Bevölkerung anzupassen.",2026-07-14
verdoppelung,Doubling Down,"In jüngster Zeit häufen sich die Vorhersagen, der Preis für das Edelmetall werde einen Rekord nach dem anderen erklimmen - sogar von einer Verdoppelung in fünf Jahren ist die Rede. Doch wie realistisch ist das wirklich?",2026-07-14
werkstätten,Garages,"Von Betreibern von Fotoautomaten bis zu kleinen Werkstätten: Ab 2026 zahlen alle mehr Steuern. Kritiker warnen, die Reform könnte gerade jene Teile der Wirtschaft schwächen, die sie eigentlich stärken soll.",2026-07-14
rückschritt,Backspace,"Wer wissen will, was Behörden in Deutschland tun, kann sich bislang auf das Informationsfreiheitsgesetz berufen. Das soll nun massiv eingeschränkt werden. Organisationen, Vereine und Medien warnen vor einem Rückschritt.",2026-07-14
vorhersagen,they predict,"In jüngster Zeit häufen sich die Vorhersagen, der Preis für das Edelmetall werde einen Rekord nach dem anderen erklimmen - sogar von einer Verdoppelung in fünf Jahren ist die Rede. Doch wie realistisch ist das wirklich?",2026-07-14
mitternacht,Keskiyö,Der Brand war gegen Mitternacht in einem Pub in der thailändischen Hauptstadt Bangkok ausgebrochen. Die Flammen breiteten sich rasch aus. Bislang gibt es 27 Todesopfer und zahlreiche Verletzte.,2026-07-14
anzupassen,adapt.,"Vietnam will die Geburtenrate erhöhen. Experten weisen jedoch darauf hin, dass die größere Herausforderung darin besteht, Wirtschaft und Sozialsysteme an eine alternde Bevölkerung anzupassen.",2026-07-14
betreibern,operators,"Von Betreibern von Fotoautomaten bis zu kleinen Werkstätten: Ab 2026 zahlen alle mehr Steuern. Kritiker warnen, die Reform könnte gerade jene Teile der Wirtschaft schwächen, die sie eigentlich stärken soll.",2026-07-14
edelmetall,Precious metal,"In jüngster Zeit häufen sich die Vorhersagen, der Preis für das Edelmetall werde einen Rekord nach dem anderen erklimmen - sogar von einer Verdoppelung in fünf Jahren ist die Rede. Doch wie realistisch ist das wirklich?",2026-07-14
todesopfer,Fatality,Der Brand war gegen Mitternacht in einem Pub in der thailändischen Hauptstadt Bangkok ausgebrochen. Die Flammen breiteten sich rasch aus. Bislang gibt es 27 Todesopfer und zahlreiche Verletzte.,2026-07-14
erklimmen,climbing,"In jüngster Zeit häufen sich die Vorhersagen, der Preis für das Edelmetall werde einen Rekord nach dem anderen erklimmen - sogar von einer Verdoppelung in fünf Jahren ist die Rede. Doch wie realistisch ist das wirklich?",2026-07-14
bestellen,order,Deutschland und die anderen EU-Staaten machen Russlands Inlandsgeheimdienst für zahlreiche Cyberangriffe verantwortlich. Neben neuen Sanktionen bestellen Berlin und Paris jeweils den russischen Botschafter ein.,2026-07-14
breiteten,spread,Der Brand war gegen Mitternacht in einem Pub in der thailändischen Hauptstadt Bangkok ausgebrochen. Die Flammen breiteten sich rasch aus. Bislang gibt es 27 Todesopfer und zahlreiche Verletzte.,2026-07-14
alternde,aging,"Vietnam will die Geburtenrate erhöhen. Experten weisen jedoch darauf hin, dass die größere Herausforderung darin besteht, Wirtschaft und Sozialsysteme an eine alternde Bevölkerung anzupassen.",2026-07-14
