German,English,Context,Date
rechtsextremistisch,right-wing extremist,"Das Bundesamt für Verfassungsschutz muss seine Einstufung der AfD als ""gesichert rechtsextremistisch"" zurücknehmen. Aber die Entscheidung des Verwaltungsgerichts Köln wird nicht das letzte Wort gewesen sein.",2026-03-02
verwaltungsgerichts,Administrative Court,"Das Bundesamt für Verfassungsschutz muss seine Einstufung der AfD als ""gesichert rechtsextremistisch"" zurücknehmen. Aber die Entscheidung des Verwaltungsgerichts Köln wird nicht das letzte Wort gewesen sein.",2026-03-02
machtkonzentration,power concentration,Nach der Tötung des obersten Führers Ali Chamenei ringt der Iran um eine neue Ordnung. Droht eine weitere Machtkonzentration bei den Revolutionsgarden? Zwei Expertinnen ordnen ein.,2026-03-02
revolutionsgarden,revolutionary Guards,Nach der Tötung des obersten Führers Ali Chamenei ringt der Iran um eine neue Ordnung. Droht eine weitere Machtkonzentration bei den Revolutionsgarden? Zwei Expertinnen ordnen ein.,2026-03-02
verfassungsschutz,constitutional protection,"Das Bundesamt für Verfassungsschutz muss seine Einstufung der AfD als ""gesichert rechtsextremistisch"" zurücknehmen. Aber die Entscheidung des Verwaltungsgerichts Köln wird nicht das letzte Wort gewesen sein.",2026-03-02
staatsoberhaupt,Head of State,In einem Jahr wird das deutsche Staatsoberhaupt neu gewählt. Viele wünschen sich erstmals eine Frau an der Spitze. Nur wen?,2026-03-02
zurücknehmen,have to be.,"Das Bundesamt für Verfassungsschutz muss seine Einstufung der AfD als ""gesichert rechtsextremistisch"" zurücknehmen. Aber die Entscheidung des Verwaltungsgerichts Köln wird nicht das letzte Wort gewesen sein.",2026-03-02
expertinnen,Experts:,Nach der Tötung des obersten Führers Ali Chamenei ringt der Iran um eine neue Ordnung. Droht eine weitere Machtkonzentration bei den Revolutionsgarden? Zwei Expertinnen ordnen ein.,2026-03-02
dramatisch,dramatic,"Nach dem Tod des obersten Führers Ajatollah Ali Chamenei spitzt sich der Konflikt zwischen Iran, Israel und den USA dramatisch zu. Teheran kündigt Rache an, Raketen schlagen in mehreren Ländern ein.",2026-03-02
einstufung,Classification,"Das Bundesamt für Verfassungsschutz muss seine Einstufung der AfD als ""gesichert rechtsextremistisch"" zurücknehmen. Aber die Entscheidung des Verwaltungsgerichts Köln wird nicht das letzte Wort gewesen sein.",2026-03-02
president,president,"The US president vowed revenge after three US service members will killed by Iran, and called on Iranians to rise up. DW has the latest.",2026-03-02
ansichten,views,Der Angriff der USA und Israels auf den Iran und die Tötung des obersten Führers Ali Chamenei sind weltweit auf gemischte Reaktionen gestoßen. Auch innerhalb Europas sind die Ansichten gespalten.,2026-03-02
ajatollah,ajatollah,"Nach dem Tod des obersten Führers Ajatollah Ali Chamenei spitzt sich der Konflikt zwischen Iran, Israel und den USA dramatisch zu. Teheran kündigt Rache an, Raketen schlagen in mehreren Ländern ein.",2026-03-02
bundesamt,Federal Office,"Das Bundesamt für Verfassungsschutz muss seine Einstufung der AfD als ""gesichert rechtsextremistisch"" zurücknehmen. Aber die Entscheidung des Verwaltungsgerichts Köln wird nicht das letzte Wort gewesen sein.",2026-03-02
