German,English,Context,Date
veröffentlichen,free-of-charge advertisement,Die Islamische Republik meldet nach neuerlichen US-Attacken mehrere Tote. Die Berliner Behörden veröffentlichen weitere Details zum islamistischen CSD-Attentäter. Der DW-Nachrichtenüberblick.,2026-07-30
gleichstellung,Equality,Nach dem Anschlag auf den Christopher Street Day in Berlin diskutiert Deutschland über eine bessere Gleichstellung der LGBTQ+-Community. Wie sieht es eigentlich in anderen Ländern Europas damit aus? Ein Überblick.,2026-07-30
schattenseiten,Shady sides,Mehr als 20 Millionen Touristen haben Mexiko von Januar bis Mai besucht - ein Rekord. Doch dieser Boom hat auch Schattenseiten: Menschenhandel und sexuelle Ausbeutung treffen vor allem Frauen und Kinder.,2026-07-30
menschenhandel,trafficking in human beings,Mehr als 20 Millionen Touristen haben Mexiko von Januar bis Mai besucht - ein Rekord. Doch dieser Boom hat auch Schattenseiten: Menschenhandel und sexuelle Ausbeutung treffen vor allem Frauen und Kinder.,2026-07-30
onlinedienstes,online service,"Russland hat gegen den im Ausland lebenden Chef des Onlinedienstes Telegram, Pawel Durow, einen internationalen Haftbefehl erlassen. Der Vorwurf: Beihilfe zum Terrorismus.",2026-07-30
bündnispartner,alliance partner,Gemeinsam mit dem Bündnispartner Saudi-Arabien haben die USA Stellungen pro-iranischer Milizen im Irak unter Beschuss genommen. Zuvor hatte Iran wieder Raketen abgefeuert.,2026-07-30
ausgetragenen,discharged,"Jens Spahn musste als Unions-Fraktionschef gehen, weil er Vater eines von einer Leihmutter in den USA ausgetragenen Kindes wurde. Was sagt das über das Familienbild der deutschen Konservativen?",2026-07-30
amerikanisch,American,In neuer Harmonie trafen sich die Präsidenten Trump und Selenskyj in Washington. Um welche Themen ging es und welche neuen Entwicklungen zeichnen sich im amerikanisch-ukrainischen Verhältnis ab?,2026-07-30
familienbild,family picture,"Jens Spahn musste als Unions-Fraktionschef gehen, weil er Vater eines von einer Leihmutter in den USA ausgetragenen Kindes wurde. Was sagt das über das Familienbild der deutschen Konservativen?",2026-07-30
neuerlichen,new,Die Islamische Republik meldet nach neuerlichen US-Attacken mehrere Tote. Die Berliner Behörden veröffentlichen weitere Details zum islamistischen CSD-Attentäter. Der DW-Nachrichtenüberblick.,2026-07-30
ausbeutung,exploitation,Mehr als 20 Millionen Touristen haben Mexiko von Januar bis Mai besucht - ein Rekord. Doch dieser Boom hat auch Schattenseiten: Menschenhandel und sexuelle Ausbeutung treffen vor allem Frauen und Kinder.,2026-07-30
diplomatie,Diplomacy,"Der Konflikt mit Iran und die neuen Drohungen der Huthi setzen Ägypten wirtschaftlich und außenpolitisch unter Druck. Kairo setzt auf Diplomatie, doch der Einfluss auf den Konflikt bleibt begrenzt.",2026-07-30
leihmutter,Surrogacy,"Jens Spahn musste als Unions-Fraktionschef gehen, weil er Vater eines von einer Leihmutter in den USA ausgetragenen Kindes wurde. Was sagt das über das Familienbild der deutschen Konservativen?",2026-07-30
haftbefehl,ARREST WARRANT,"Russland hat gegen den im Ausland lebenden Chef des Onlinedienstes Telegram, Pawel Durow, einen internationalen Haftbefehl erlassen. Der Vorwurf: Beihilfe zum Terrorismus.",2026-07-30
verteuern,more expensive,"Die letzte Erhöhung vor sieben Jahren löste blutige Proteste aus. Jetzt will Teheran den Sprit weiter verteuern. Am Iran-Krieg liege es nicht, sagen Experten.",2026-07-30
sexuelle,Sexual,Mehr als 20 Millionen Touristen haben Mexiko von Januar bis Mai besucht - ein Rekord. Doch dieser Boom hat auch Schattenseiten: Menschenhandel und sexuelle Ausbeutung treffen vor allem Frauen und Kinder.,2026-07-30
harmonie,Harmony,In neuer Harmonie trafen sich die Präsidenten Trump und Selenskyj in Washington. Um welche Themen ging es und welche neuen Entwicklungen zeichnen sich im amerikanisch-ukrainischen Verhältnis ab?,2026-07-30
zeichnen,to submit an offer for,In neuer Harmonie trafen sich die Präsidenten Trump und Selenskyj in Washington. Um welche Themen ging es und welche neuen Entwicklungen zeichnen sich im amerikanisch-ukrainischen Verhältnis ab?,2026-07-30
erhöhung,increasion,"Die letzte Erhöhung vor sieben Jahren löste blutige Proteste aus. Jetzt will Teheran den Sprit weiter verteuern. Am Iran-Krieg liege es nicht, sagen Experten.",2026-07-30
