German,English,Context,Date
geschlechtsspezifische,gender-specific,"Neun Frauen sind seit Juli in Ekurhuleni, östlich von Johannesburg, getötet worden. Die jüngsten Fälle haben in Südafrika die Debatte über geschlechtsspezifische Gewalt und Femizide erneut entfacht.",2026-09-24
pressefreiheit,Freedom of press,"Die Rangliste für Pressefreiheit 2026 zeichnet ein düsteres Bild: Mittlerweile werden drei von vier Ländern weltweit als ""problematisch"" oder schlechter eingestuft. Rund ein Dutzend Länder widersetzen sich diesem Trend.",2026-09-24
bundesrichter,JUDGE FEDERAL,"Wer kritisch berichtet, fliegt raus: Das sollte die Botschaft sein, als das Weiße Haus mehrere Medien vor die Tür setzte. Jetzt macht ein US-Bundesrichter die Entscheidung rückgängig - aber nur vorübergehend.",2026-09-24
johannesburg,johannesburg,"Neun Frauen sind seit Juli in Ekurhuleni, östlich von Johannesburg, getötet worden. Die jüngsten Fälle haben in Südafrika die Debatte über geschlechtsspezifische Gewalt und Femizide erneut entfacht.",2026-09-24
rückgängig,undo,"Wer kritisch berichtet, fliegt raus: Das sollte die Botschaft sein, als das Weiße Haus mehrere Medien vor die Tür setzte. Jetzt macht ein US-Bundesrichter die Entscheidung rückgängig - aber nur vorübergehend.",2026-09-24
kontinents,continents,Frankreich ist im Papst-Fieber. Im Herzen des alten christlichen Europas richtet Leo den Blick auf die Zukunft des Kontinents.,2026-09-24
ekurhuleni,ekurhuleni,"Neun Frauen sind seit Juli in Ekurhuleni, östlich von Johannesburg, getötet worden. Die jüngsten Fälle haben in Südafrika die Debatte über geschlechtsspezifische Gewalt und Femizide erneut entfacht.",2026-09-24
rangliste,standings,"Die Rangliste für Pressefreiheit 2026 zeichnet ein düsteres Bild: Mittlerweile werden drei von vier Ländern weltweit als ""problematisch"" oder schlechter eingestuft. Rund ein Dutzend Länder widersetzen sich diesem Trend.",2026-09-24
asheville,Asheville,Einzelne Reporter großer US-Medien erhalten keinen Zugang zum G20-Finanztreffen in Asheville. Die Bundesregierung intervenierte bereits bei der US-Regierung.,2026-09-24
radikaler,radical.,Junge Berliner haben am Sonntag bei der Landtagswahl mit großer Mehrheit die Linkspartei gewählt. Sind die Jungen radikaler? Oder haben sie andere Motive bei ihrer Wahl?,2026-09-24
mehrheit,majority,Junge Berliner haben am Sonntag bei der Landtagswahl mit großer Mehrheit die Linkspartei gewählt. Sind die Jungen radikaler? Oder haben sie andere Motive bei ihrer Wahl?,2026-09-24
