German,English,Context,Date
geheimdienstmitarbeiter,intelligence officer,Die Deutsch-Ukrainerin wurde im Januar festgenommen und sitzt seitdem in Untersuchungshaft. Sie soll einen Geheimdienstmitarbeiter in der russischen Botschaft mit Informationen versorgt haben.,2026-09-15
treibhausgasausstoß,greenhouse gas emissions,Die internationale Impfallianz Gavi erwartet einen Durchbruch bei der Entwicklung neuer Vakzine. Die Trump-Administration hebt Auflagen für den Treibhausgasausstoß von Kraftwerken auf. Der DW-Nachrichtenüberblick.,2026-09-15
betrugszentren,fraud centers,"Mit falschen Versprechen werden Afrikaner nach Kambodscha gelockt und in Betrugszentren zur Arbeit gezwungen. Nach ihrer Flucht stehen viele mittellos da. Experten kritisieren, wie untätig viele Regierungen sind.",2026-09-15
administration,"at-Taji, north of Baghdad.",Die internationale Impfallianz Gavi erwartet einen Durchbruch bei der Entwicklung neuer Vakzine. Die Trump-Administration hebt Auflagen für den Treibhausgasausstoß von Kraftwerken auf. Der DW-Nachrichtenüberblick.,2026-09-15
vertreterinnen,Agents,Charlotte Knobloch ist eine der bekanntesten Vertreterinnen jüdischen Lebens in Deutschland. Im DW-Interview zeigt sie sich schockiert über den jüngsten Wahlerfolg der Alternative für Deutschland.,2026-09-15
impfallianz,impfallianz,Die internationale Impfallianz Gavi erwartet einen Durchbruch bei der Entwicklung neuer Vakzine. Die Trump-Administration hebt Auflagen für den Treibhausgasausstoß von Kraftwerken auf. Der DW-Nachrichtenüberblick.,2026-09-15
kraftwerken,power plants,Die internationale Impfallianz Gavi erwartet einen Durchbruch bei der Entwicklung neuer Vakzine. Die Trump-Administration hebt Auflagen für den Treibhausgasausstoß von Kraftwerken auf. Der DW-Nachrichtenüberblick.,2026-09-15
unerfüllbar,tetrachloroethylene ...,Der Traum von den eigenen vier Wänden ist vor allem für Jüngere unerfüllbar. Innerhalb der Europäischen Union liegt Deutschland sogar auf dem letzten Rang.,2026-09-15
frittiertes,deep fried,"In Englands Schulen könnte Kindern zukünftig kein frittiertes Essen mehr serviert werden. Zu viel Pommes, Chicken Nuggets und Co. verursachen nicht nur Übergewicht, sondern machen krank.",2026-09-15
verursachen,they were causing,"In Englands Schulen könnte Kindern zukünftig kein frittiertes Essen mehr serviert werden. Zu viel Pommes, Chicken Nuggets und Co. verursachen nicht nur Übergewicht, sondern machen krank.",2026-09-15
weitergabe,Disclosure,"China weitet die Möglichkeiten aus, seine Bürger an Auslandsreisen zu hindern. Die Führung in Peking will damit die Weitergabe sensibler Technologien unterbinden. Kritiker warnen vor mehr staatlicher Kontrolle.",2026-09-15
wahlerfolg,electoral success,Charlotte Knobloch ist eine der bekanntesten Vertreterinnen jüdischen Lebens in Deutschland. Im DW-Interview zeigt sie sich schockiert über den jüngsten Wahlerfolg der Alternative für Deutschland.,2026-09-15
gezwungen,forced,"Mit falschen Versprechen werden Afrikaner nach Kambodscha gelockt und in Betrugszentren zur Arbeit gezwungen. Nach ihrer Flucht stehen viele mittellos da. Experten kritisieren, wie untätig viele Regierungen sind.",2026-09-15
mittellos,penniless,"Mit falschen Versprechen werden Afrikaner nach Kambodscha gelockt und in Betrugszentren zur Arbeit gezwungen. Nach ihrer Flucht stehen viele mittellos da. Experten kritisieren, wie untätig viele Regierungen sind.",2026-09-15
charlotte,Charlotte,Charlotte Knobloch ist eine der bekanntesten Vertreterinnen jüdischen Lebens in Deutschland. Im DW-Interview zeigt sie sich schockiert über den jüngsten Wahlerfolg der Alternative für Deutschland.,2026-09-15
zukünftig,in the future,"In Englands Schulen könnte Kindern zukünftig kein frittiertes Essen mehr serviert werden. Zu viel Pommes, Chicken Nuggets und Co. verursachen nicht nur Übergewicht, sondern machen krank.",2026-09-15
