German,English,Context,Date
russlandfreundlichen,russia-friendly,"Der ukrainische Präsident Selenskyj reist erstmals nach Serbien - ein heikler Besuch. Gastgeber Vucic hofft auf Pluspunkte bei der EU, Selenskyj auf weitere Waffenlieferungen aus einem russlandfreundlichen Land.",2026-08-08
höchstrichterlicher,supreme Court,"Wer in den Vereinigten Staaten geboren wird, ist automatisch US-Bürger - eigentlich. Doch Präsident Donald Trump ist das ein Dorn im Auge. Trotz höchstrichterlicher Rüge versucht er erneut, das Geburtsrecht einschränken.",2026-08-08
bundesanwaltschaft,Office of the Prosecutor General of the Swiss Confederation,Ein mit EU-Sanktionen belegter Tanker verliert vor einer Insel des Sultanats Oman gewaltige Mengen Rohöl. Nach dem mutmaßlichen Anschlagsversuch in Leipzig ermittelt die Bundesanwaltschaft. Der DW-Nachrichtenüberblick.,2026-08-08
waffenlieferungen,weapons deliveries,"Der ukrainische Präsident Selenskyj reist erstmals nach Serbien - ein heikler Besuch. Gastgeber Vucic hofft auf Pluspunkte bei der EU, Selenskyj auf weitere Waffenlieferungen aus einem russlandfreundlichen Land.",2026-08-08
zusammenarbeiten,cooperating,"Die Kriege im Nahen Osten verschieben die Gewichte in der internationalen Politik. Jetzt wollen Saudi-Arabien, Pakistan und die Türkei enger in Sachen Verteidigung zusammenarbeiten.",2026-08-08
anschlagsversuch,impact test,Ein mit EU-Sanktionen belegter Tanker verliert vor einer Insel des Sultanats Oman gewaltige Mengen Rohöl. Nach dem mutmaßlichen Anschlagsversuch in Leipzig ermittelt die Bundesanwaltschaft. Der DW-Nachrichtenüberblick.,2026-08-08
gummigeschossen,rubber bullets,Umstrittenes Reformpaket: Argentiniens Präsident Milei wollte Landverkauf an ausländische Investoren erleichtern. Proteste dagegen wurden mit Tränengas und Gummigeschossen gestoppt. Dann trat der Senat auf die Bremse.,2026-08-08
aufzeichnungen,recordings,"Woher wissen Wissenschaftler, ob ein Tag oder Sommer tatsächlich der heißeste seit Beginn der Aufzeichnungen war? Und woher kommt die Skepsis an den Daten? Die DW hat Experten zum Thema Hitze und Klimawandel befragt.",2026-08-08
austrittswelle,exit shaft,Eine neue afrikanische Austrittswelle hat den Internationalen Strafgerichtshof erfasst: Nach den drei Sahel-Juntas kehrt auch der Tschad dem Gericht den Rücken. Doch umgekehrt vertrauen die meisten Regierungen Den Haag.,2026-08-08
unterzeichnen,and,Der Iran und Oman könnten sehr bald ein Abkommen über die Schifffahrt durch die Straße von Hormus unterzeichnen. Experten rechnen allerdings nicht mit freier Fahrt. Die Gründe sind vielschichtig.,2026-08-08
vielschichtig,Multi-Layered,Der Iran und Oman könnten sehr bald ein Abkommen über die Schifffahrt durch die Straße von Hormus unterzeichnen. Experten rechnen allerdings nicht mit freier Fahrt. Die Gründe sind vielschichtig.,2026-08-08
geburtsrecht,"""Birth-right?""","Wer in den Vereinigten Staaten geboren wird, ist automatisch US-Bürger - eigentlich. Doch Präsident Donald Trump ist das ein Dorn im Auge. Trotz höchstrichterlicher Rüge versucht er erneut, das Geburtsrecht einschränken.",2026-08-08
reformpaket,reform package,Umstrittenes Reformpaket: Argentiniens Präsident Milei wollte Landverkauf an ausländische Investoren erleichtern. Proteste dagegen wurden mit Tränengas und Gummigeschossen gestoppt. Dann trat der Senat auf die Bremse.,2026-08-08
landverkauf,land sale,Umstrittenes Reformpaket: Argentiniens Präsident Milei wollte Landverkauf an ausländische Investoren erleichtern. Proteste dagegen wurden mit Tränengas und Gummigeschossen gestoppt. Dann trat der Senat auf die Bremse.,2026-08-08
automatisch,automatic,"Wer in den Vereinigten Staaten geboren wird, ist automatisch US-Bürger - eigentlich. Doch Präsident Donald Trump ist das ein Dorn im Auge. Trotz höchstrichterlicher Rüge versucht er erneut, das Geburtsrecht einschränken.",2026-08-08
großeltern,Grandpa,An einer Schule in Thailand fallen Schüsse. Sechs Menschen sterben. Der Täter ist ein Schüler - der zuvor auch seine Großeltern getötet haben soll.,2026-08-08
pluspunkte,Advantages:,"Der ukrainische Präsident Selenskyj reist erstmals nach Serbien - ein heikler Besuch. Gastgeber Vucic hofft auf Pluspunkte bei der EU, Selenskyj auf weitere Waffenlieferungen aus einem russlandfreundlichen Land.",2026-08-08
tränengas,Tear Gas Grenade,Umstrittenes Reformpaket: Argentiniens Präsident Milei wollte Landverkauf an ausländische Investoren erleichtern. Proteste dagegen wurden mit Tränengas und Gummigeschossen gestoppt. Dann trat der Senat auf die Bremse.,2026-08-08
sultanats,sultanate,Ein mit EU-Sanktionen belegter Tanker verliert vor einer Insel des Sultanats Oman gewaltige Mengen Rohöl. Nach dem mutmaßlichen Anschlagsversuch in Leipzig ermittelt die Bundesanwaltschaft. Der DW-Nachrichtenüberblick.,2026-08-08
umgekehrt,reverse,Eine neue afrikanische Austrittswelle hat den Internationalen Strafgerichtshof erfasst: Nach den drei Sahel-Juntas kehrt auch der Tschad dem Gericht den Rücken. Doch umgekehrt vertrauen die meisten Regierungen Den Haag.,2026-08-08
heißeste,Hottest.,"Woher wissen Wissenschaftler, ob ein Tag oder Sommer tatsächlich der heißeste seit Beginn der Aufzeichnungen war? Und woher kommt die Skepsis an den Daten? Die DW hat Experten zum Thema Hitze und Klimawandel befragt.",2026-08-08
gewichte,weights,"Die Kriege im Nahen Osten verschieben die Gewichte in der internationalen Politik. Jetzt wollen Saudi-Arabien, Pakistan und die Türkei enger in Sachen Verteidigung zusammenarbeiten.",2026-08-08
thailand,Thailand,An einer Schule in Thailand fallen Schüsse. Sechs Menschen sterben. Der Täter ist ein Schüler - der zuvor auch seine Großeltern getötet haben soll.,2026-08-08
belegter,hoarse,Ein mit EU-Sanktionen belegter Tanker verliert vor einer Insel des Sultanats Oman gewaltige Mengen Rohöl. Nach dem mutmaßlichen Anschlagsversuch in Leipzig ermittelt die Bundesanwaltschaft. Der DW-Nachrichtenüberblick.,2026-08-08
