German,English,Context,Date
rezessionsrisiken,recession risks,"Teheran setzt darauf, dass seine durch Sanktionen abgehärtete Wirtschaft die Krise in der Straße von Hormus überstehen kann. Washington hingegen kämpft mit hohen Ölpreisen, Inflationsdruck und globalen Rezessionsrisiken.",2026-05-27
aktivistengruppen,activist groups,Trump will beim Gespräch mit Xi die Fälle von Jimmy Lai und Pastor Jin angesprochen haben. Aktivistengruppen fordern nun mehr Druck auf China.,2026-05-27
entschlossenheit,Determination,"Washington setzt ein Zeichen der Entschlossenheit. Während in Katar Gespräche über ein mögliches Kriegsende laufen, schafft das US-Militär Fakten - aber nach eigener Darstellung nur zur Selbstverteidigung.",2026-05-27
sudetendeutschen,sudeten German,"Trotz der Angriffe der Regierungskoalition unter Andrej Babis gegen den ersten Sudetendeutschen Tag auf tschechischem Gebiet haben Zivilgesellschaft, Opposition und Präsident die Beziehungen zu Deutschland gerettet.",2026-05-27
inflationsdruck,inflationary pressure,"Teheran setzt darauf, dass seine durch Sanktionen abgehärtete Wirtschaft die Krise in der Straße von Hormus überstehen kann. Washington hingegen kämpft mit hohen Ölpreisen, Inflationsdruck und globalen Rezessionsrisiken.",2026-05-27
wechselseitige,reciprocal,Der wechselseitige Beschuss zwischen der Hisbollah-Miliz und der israelischen Armee dauert an. Die jüngste Eskalation belastet auch die laufenden Verhandlungen über ein mögliches Ende des Iran-Krieges.,2026-05-27
geschlossener,closed,"Warum der Fahrer trotz geschlossener Schranke auf ein Bahngleis fuhr, ist unklar. Ein Regionalzug prallte mit großer Wucht auf den Kleinbus.",2026-05-27
tschechischem,czech,"Trotz der Angriffe der Regierungskoalition unter Andrej Babis gegen den ersten Sudetendeutschen Tag auf tschechischem Gebiet haben Zivilgesellschaft, Opposition und Präsident die Beziehungen zu Deutschland gerettet.",2026-05-27
provokativen,provocative,"Die Islamische Republik spricht von einem ""provokativen Akt"" des US-Militärs. Israel hat nach eigenen Angaben den neuen Hamas-Militärchef getötet. Der DW-Nachrichtenüberblick.",2026-05-27
angesprochen,addressed.,Trump will beim Gespräch mit Xi die Fälle von Jimmy Lai und Pastor Jin angesprochen haben. Aktivistengruppen fordern nun mehr Druck auf China.,2026-05-27
kooperation,cooperation,"Die VAE und Israel rücken immer enger zusammen, während Saudi-Arabien gezielt seine Kooperation mit Ägypten, der Türkei und Pakistan ausbaut. Entstehen dort neue feste politische Bündnisse?",2026-05-27
abgehärtete,hardened,"Teheran setzt darauf, dass seine durch Sanktionen abgehärtete Wirtschaft die Krise in der Straße von Hormus überstehen kann. Washington hingegen kämpft mit hohen Ölpreisen, Inflationsdruck und globalen Rezessionsrisiken.",2026-05-27
regionalzug,regional train,"Warum der Fahrer trotz geschlossener Schranke auf ein Bahngleis fuhr, ist unklar. Ein Regionalzug prallte mit großer Wucht auf den Kleinbus.",2026-05-27
überstehen,withstand,"Teheran setzt darauf, dass seine durch Sanktionen abgehärtete Wirtschaft die Krise in der Straße von Hormus überstehen kann. Washington hingegen kämpft mit hohen Ölpreisen, Inflationsdruck und globalen Rezessionsrisiken.",2026-05-27
islamische,islamic,"Die Islamische Republik spricht von einem ""provokativen Akt"" des US-Militärs. Israel hat nach eigenen Angaben den neuen Hamas-Militärchef getötet. Der DW-Nachrichtenüberblick.",2026-05-27
kriegsende,The end of the war,"Washington setzt ein Zeichen der Entschlossenheit. Während in Katar Gespräche über ein mögliches Kriegsende laufen, schafft das US-Militär Fakten - aber nach eigener Darstellung nur zur Selbstverteidigung.",2026-05-27
