German,English,Context,Date
verteidigungsminister,Minister for Defence,"Der deutsche Verteidigungsminister ist nach Japan, Singapur und Australien gereist. Seine Mission: Die Bewahrung einer regelbasierten internationalen Ordnung - mit Mittelmächten als wichtigen Akteuren",2026-03-31
übergangspräsidenten,interim president,Beim Besuch von Syriens Übergangspräsidenten Ahmed al-Scharaa in Berlin sprach sich Bundeskanzler Friedrich Merz für die Rückkehr von Hunderttausenden Syrern in ihr Heimatland aus.,2026-03-31
herausforderungen,Challenges,Ein Jahr nach dem Sturz des syrischen Diktators Baschar al-Assad befindet sich das Land an einem entscheidenden Wendepunkt. Zwar wurden erkennbar Erfolge erzielt. Doch zugleich sind viele Herausforderungen noch ungelöst.,2026-03-31
hunderttausenden,hundreds and hundreds,Beim Besuch von Syriens Übergangspräsidenten Ahmed al-Scharaa in Berlin sprach sich Bundeskanzler Friedrich Merz für die Rückkehr von Hunderttausenden Syrern in ihr Heimatland aus.,2026-03-31
außenbeauftragte,external Representative,"Im Sahel steigt die Unsicherheit. Die Juntas wenden sich Russland, China und den USA zu - und von Europa ab. EU-Außenbeauftragte Kaja Kallas fordert im DW-Gespräch ""ausgewogene Partnerschaften"". Kann das funktionieren?",2026-03-31
partnerschaften,PARTNERSHIPS,"Im Sahel steigt die Unsicherheit. Die Juntas wenden sich Russland, China und den USA zu - und von Europa ab. EU-Außenbeauftragte Kaja Kallas fordert im DW-Gespräch ""ausgewogene Partnerschaften"". Kann das funktionieren?",2026-03-31
entscheidenden,crucial,Ein Jahr nach dem Sturz des syrischen Diktators Baschar al-Assad befindet sich das Land an einem entscheidenden Wendepunkt. Zwar wurden erkennbar Erfolge erzielt. Doch zugleich sind viele Herausforderungen noch ungelöst.,2026-03-31
meistgesuchter,most wanted,"Australiens meistgesuchter Täter, Dezi Freeman, wurde nach monatelanger Flucht gestellt und erschossen. Der radikale ""Sovereign Citizen"" soll zwei Polizisten getötet haben. Der Fall sorgte landesweit für Schlagzeilen.",2026-03-31
regelbasierten,rule-based,"Der deutsche Verteidigungsminister ist nach Japan, Singapur und Australien gereist. Seine Mission: Die Bewahrung einer regelbasierten internationalen Ordnung - mit Mittelmächten als wichtigen Akteuren",2026-03-31
eingeschaltet,turned on,In Jerusalem wird der katholische Kardinal Pizzaballa daran gehindert in der Grabeskirche eine Messe abzuhalten. Es hagelt Kritik - auch aus Deutschland. Israels Ministerpräsident Netanjahu hat sich nun eingeschaltet.,2026-03-31
mittelmächten,medium powers,"Der deutsche Verteidigungsminister ist nach Japan, Singapur und Australien gereist. Seine Mission: Die Bewahrung einer regelbasierten internationalen Ordnung - mit Mittelmächten als wichtigen Akteuren",2026-03-31
funktionieren,services,"Im Sahel steigt die Unsicherheit. Die Juntas wenden sich Russland, China und den USA zu - und von Europa ab. EU-Außenbeauftragte Kaja Kallas fordert im DW-Gespräch ""ausgewogene Partnerschaften"". Kann das funktionieren?",2026-03-31
grabeskirche,church of the Holy Sepulchre,In Jerusalem wird der katholische Kardinal Pizzaballa daran gehindert in der Grabeskirche eine Messe abzuhalten. Es hagelt Kritik - auch aus Deutschland. Israels Ministerpräsident Netanjahu hat sich nun eingeschaltet.,2026-03-31
monatelanger,months,"Australiens meistgesuchter Täter, Dezi Freeman, wurde nach monatelanger Flucht gestellt und erschossen. Der radikale ""Sovereign Citizen"" soll zwei Polizisten getötet haben. Der Fall sorgte landesweit für Schlagzeilen.",2026-03-31
schlagzeilen,TOP HEADLINES,"Australiens meistgesuchter Täter, Dezi Freeman, wurde nach monatelanger Flucht gestellt und erschossen. Der radikale ""Sovereign Citizen"" soll zwei Polizisten getötet haben. Der Fall sorgte landesweit für Schlagzeilen.",2026-03-31
ursprünglich,original,"Ursprünglich war Ahmed al-Scharaas Besuch bereits im Januar geplant, musste aber verschoben werden. Die USA haben einem russischen Öltanker die Fahrt nach Kuba gestattet. Das Wichtigste in Kürze.",2026-03-31
unsicherheit,uncertainty,"Im Sahel steigt die Unsicherheit. Die Juntas wenden sich Russland, China und den USA zu - und von Europa ab. EU-Außenbeauftragte Kaja Kallas fordert im DW-Gespräch ""ausgewogene Partnerschaften"". Kann das funktionieren?",2026-03-31
enthüllungen,revelations,"Kurz vor der Wahl beginnt Orbans System durch explosive Enthüllungen zu wanken: Der Geheimdienst soll versucht haben, die Oppositionspartei Tisza zu kapern. Die Regierung kontert, man gehe gegen ""ukrainische Spione"" vor.",2026-03-31
geheimdienst,intelligences,"Kurz vor der Wahl beginnt Orbans System durch explosive Enthüllungen zu wanken: Der Geheimdienst soll versucht haben, die Oppositionspartei Tisza zu kapern. Die Regierung kontert, man gehe gegen ""ukrainische Spione"" vor.",2026-03-31
australiens,australia's,"Australiens meistgesuchter Täter, Dezi Freeman, wurde nach monatelanger Flucht gestellt und erschossen. Der radikale ""Sovereign Citizen"" soll zwei Polizisten getötet haben. Der Fall sorgte landesweit für Schlagzeilen.",2026-03-31
ausgewogene,balanced participation,"Im Sahel steigt die Unsicherheit. Die Juntas wenden sich Russland, China und den USA zu - und von Europa ab. EU-Außenbeauftragte Kaja Kallas fordert im DW-Gespräch ""ausgewogene Partnerschaften"". Kann das funktionieren?",2026-03-31
syrerinnen,syrian women,Fast 6000 Syrerinnen und Syrer stellten 2025 einen Antrag auf die freiwillige Ausreise in ihre Heimat. Dabei ist die Situation in Syrien weiterhin prekär.,2026-03-31
wendepunkt,Inflection point,Ein Jahr nach dem Sturz des syrischen Diktators Baschar al-Assad befindet sich das Land an einem entscheidenden Wendepunkt. Zwar wurden erkennbar Erfolge erzielt. Doch zugleich sind viele Herausforderungen noch ungelöst.,2026-03-31
pizzaballa,pizza balla,In Jerusalem wird der katholische Kardinal Pizzaballa daran gehindert in der Grabeskirche eine Messe abzuhalten. Es hagelt Kritik - auch aus Deutschland. Israels Ministerpräsident Netanjahu hat sich nun eingeschaltet.,2026-03-31
abzuhalten,It also,In Jerusalem wird der katholische Kardinal Pizzaballa daran gehindert in der Grabeskirche eine Messe abzuhalten. Es hagelt Kritik - auch aus Deutschland. Israels Ministerpräsident Netanjahu hat sich nun eingeschaltet.,2026-03-31
blockieren,I block,Seit Monaten blockieren die USA Ölimporte nach Kuba – jetzt kann ein russischer Tanker passieren. Was das für die Versorgung der Insel bedeutet und warum Präsident Trump diesmal einlenkt.,2026-03-31
erschossen,Sniped!,"Australiens meistgesuchter Täter, Dezi Freeman, wurde nach monatelanger Flucht gestellt und erschossen. Der radikale ""Sovereign Citizen"" soll zwei Polizisten getötet haben. Der Fall sorgte landesweit für Schlagzeilen.",2026-03-31
situation,situation,Fast 6000 Syrerinnen und Syrer stellten 2025 einen Antrag auf die freiwillige Ausreise in ihre Heimat. Dabei ist die Situation in Syrien weiterhin prekär.,2026-03-31
syrischen,syrian,Ein Jahr nach dem Sturz des syrischen Diktators Baschar al-Assad befindet sich das Land an einem entscheidenden Wendepunkt. Zwar wurden erkennbar Erfolge erzielt. Doch zugleich sind viele Herausforderungen noch ungelöst.,2026-03-31
diktators,dictators,Ein Jahr nach dem Sturz des syrischen Diktators Baschar al-Assad befindet sich das Land an einem entscheidenden Wendepunkt. Zwar wurden erkennbar Erfolge erzielt. Doch zugleich sind viele Herausforderungen noch ungelöst.,2026-03-31
erkennbar,discernible,Ein Jahr nach dem Sturz des syrischen Diktators Baschar al-Assad befindet sich das Land an einem entscheidenden Wendepunkt. Zwar wurden erkennbar Erfolge erzielt. Doch zugleich sind viele Herausforderungen noch ungelöst.,2026-03-31
jerusalem,Jerusalem,In Jerusalem wird der katholische Kardinal Pizzaballa daran gehindert in der Grabeskirche eine Messe abzuhalten. Es hagelt Kritik - auch aus Deutschland. Israels Ministerpräsident Netanjahu hat sich nun eingeschaltet.,2026-03-31
gehindert,OBTAINED,In Jerusalem wird der katholische Kardinal Pizzaballa daran gehindert in der Grabeskirche eine Messe abzuhalten. Es hagelt Kritik - auch aus Deutschland. Israels Ministerpräsident Netanjahu hat sich nun eingeschaltet.,2026-03-31
netanjahu,Netanyahu,In Jerusalem wird der katholische Kardinal Pizzaballa daran gehindert in der Grabeskirche eine Messe abzuhalten. Es hagelt Kritik - auch aus Deutschland. Israels Ministerpräsident Netanjahu hat sich nun eingeschaltet.,2026-03-31
ölimporte,oil imports,Seit Monaten blockieren die USA Ölimporte nach Kuba – jetzt kann ein russischer Tanker passieren. Was das für die Versorgung der Insel bedeutet und warum Präsident Trump diesmal einlenkt.,2026-03-31
passieren,did you happen ?,Seit Monaten blockieren die USA Ölimporte nach Kuba – jetzt kann ein russischer Tanker passieren. Was das für die Versorgung der Insel bedeutet und warum Präsident Trump diesmal einlenkt.,2026-03-31
