German,English,Context,Date
nationalmannschaft,National Team,Für die beiden ersten Länderspiele im WM-Jahr beruft Bundestrainer Julian Nagelsmann Offensivspieler Lennart Karl und Torwart Jonas Urbig in den Kader der Fußball-Nationalmannschaft. Sechs andere Spieler kehren zurück.,2026-03-20
wissenschaftlich,scientific,"Einmal im Jahr, rund um den Beginn des Frühlings, geht es ganz wissenschaftlich um die Zufriedenheit im Leben weltweit. Ein Fazit der Forscher: Social Media macht nicht immer glücklich.",2026-03-20
gelsenkirchener,gelsenkirchener,Die Auszeichnung gilt inoffiziell als Mathematik-Nobelpreis. Der gebürtige Gelsenkirchener bekommt sie für bahnbrechende Leistungen auf dem Gebiet der arithmetischen Geometrie.,2026-03-20
offensivspieler,offensive player,Für die beiden ersten Länderspiele im WM-Jahr beruft Bundestrainer Julian Nagelsmann Offensivspieler Lennart Karl und Torwart Jonas Urbig in den Kader der Fußball-Nationalmannschaft. Sechs andere Spieler kehren zurück.,2026-03-20
arithmetischen,arithmetic,Die Auszeichnung gilt inoffiziell als Mathematik-Nobelpreis. Der gebürtige Gelsenkirchener bekommt sie für bahnbrechende Leistungen auf dem Gebiet der arithmetischen Geometrie.,2026-03-20
brasilianische,Brazilian,"Die brasilianische Polizei ist in Rio de Janeiro erneut mit großer Härte gegen Drogenbanden vorgegangen. US-Präsident Trump droht dem Iran, das größte Gasfeld zu bombardieren. Das Wichtigste in Kürze.",2026-03-20
finanzminister,Minister of Finance,"500 Milliarden Euro zusätzliche Schulden darf der Finanzminister in den kommenden Jahren nutzen, um Deutschland wieder flott zu machen. Gibt er dieses Sondervermögen gewissenhaft aus? Es gibt starke Zweifel.",2026-03-20
sondervermögen,Special assets,"500 Milliarden Euro zusätzliche Schulden darf der Finanzminister in den kommenden Jahren nutzen, um Deutschland wieder flott zu machen. Gibt er dieses Sondervermögen gewissenhaft aus? Es gibt starke Zweifel.",2026-03-20
bahnbrechende,groundbreaking,Die Auszeichnung gilt inoffiziell als Mathematik-Nobelpreis. Der gebürtige Gelsenkirchener bekommt sie für bahnbrechende Leistungen auf dem Gebiet der arithmetischen Geometrie.,2026-03-20
bundestrainer,National coach,Für die beiden ersten Länderspiele im WM-Jahr beruft Bundestrainer Julian Nagelsmann Offensivspieler Lennart Karl und Torwart Jonas Urbig in den Kader der Fußball-Nationalmannschaft. Sechs andere Spieler kehren zurück.,2026-03-20
