German,English,Context,Date
kombinationspräparat,fixed combination of drugs,"Statt mehrerer Tabletten nur noch eine täglich? Das verspricht ein neues Kombinationspräparat für HIV-Infizierte. Die Studienergebnisse sind vielversprechend, nun muss das Medikament die Genehmigungsprozesse durchlaufen.",2026-03-01
genehmigungsprozesse,Approval processes,"Statt mehrerer Tabletten nur noch eine täglich? Das verspricht ein neues Kombinationspräparat für HIV-Infizierte. Die Studienergebnisse sind vielversprechend, nun muss das Medikament die Genehmigungsprozesse durchlaufen.",2026-03-01
studienergebnisse,STUDY RESULTS,"Statt mehrerer Tabletten nur noch eine täglich? Das verspricht ein neues Kombinationspräparat für HIV-Infizierte. Die Studienergebnisse sind vielversprechend, nun muss das Medikament die Genehmigungsprozesse durchlaufen.",2026-03-01
vielversprechend,very promising,"Statt mehrerer Tabletten nur noch eine täglich? Das verspricht ein neues Kombinationspräparat für HIV-Infizierte. Die Studienergebnisse sind vielversprechend, nun muss das Medikament die Genehmigungsprozesse durchlaufen.",2026-03-01
bieterwettstreit,bidding contest,Im Bieterwettstreit mit Netflix hat sich Paramount durchgesetzt und den Zuschlag für die Übernahme des US-Film- und Medienkonzerns Warner Bros. erhalten. Die Fusion hat auch eine politische Dimension.,2026-03-01
überkapazitäten,Overcapacity,Die Bilanz der erste Chinareise von Bundeskanzler Merz übertrifft die hohen Erwartungen der deutschen Wirtschaft noch. Allerdings bereiten das massive Handelsdefizit und die Überkapazitäten Chinas weiterhin große Sorgen.,2026-03-01
modernisierung,Modernization,"Ali Chamenei, seit 1989 an der Spitze der Islamischen Republik Iran, ist tot. Der 86-Jährige starb bei den Angriffen der USA und Israels am Samstag. Kompromisslos bekämpfte er Öffnung und Modernisierung des Landes.",2026-03-01
zusammenarbeit,cooperation,Nach der Anerkennung eines unabhängigen Somalilandes durch Israel haben Somalia und Saudi-Arabien ein Abkommen über militärische Zusammenarbeit unterzeichnet. Aber was ist für Saudi-Arabien drin?,2026-03-01
handelsdefizit,trade deficit,Die Bilanz der erste Chinareise von Bundeskanzler Merz übertrifft die hohen Erwartungen der deutschen Wirtschaft noch. Allerdings bereiten das massive Handelsdefizit und die Überkapazitäten Chinas weiterhin große Sorgen.,2026-03-01
medienkonzerns,media group,Im Bieterwettstreit mit Netflix hat sich Paramount durchgesetzt und den Zuschlag für die Übernahme des US-Film- und Medienkonzerns Warner Bros. erhalten. Die Fusion hat auch eine politische Dimension.,2026-03-01
